id,category_name,phrase
112,App & Software Translation,desktop_report_parameter
113,App & Software Translation,desktop_report_result
114,App & Software Translation,desktop_report_status
115,App & Software Translation,desktop_report_unit
116,App & Software Translation,desktop_report_dsr_title
117,App & Software Translation,desktop_report_poolsize
118,App & Software Translation,desktop_ui_dsr_report_ucname
119,App & Software Translation,desktop_ui_dsr_report_uctarget
120,App & Software Translation,desktop_ui_dsr_report_ucamount
121,App & Software Translation,desktop_ui_dsr_report_selected_parameter
122,App & Software Translation,desktop_ui_dsr_legal_notice_title
123,App & Software Translation,desktop_ui_dsr_legal_text
124,App & Software Translation,desktop_report_calib_title
125,App & Software Translation,desktop_report_calib_text_poollab
126,App & Software Translation,desktop_report_calib_serial
127,App & Software Translation,desktop_report_calib_fw
128,App & Software Translation,desktop_report_calib_db
129,App & Software Translation,desktop_report_calib_result
130,App & Software Translation,desktop_report_calib_performed
131,App & Software Translation,desktop_report_calib_company
132,App & Software Translation,desktop_report_dcw_exception
133,App & Software Translation,desktop_ui_measurement_time_changed
134,App & Software Translation,desktop_ui_value_error
135,App & Software Translation,desktop_ui_value_underrange
136,App & Software Translation,desktop_ui_value_overrange
137,App & Software Translation,desktop_ui_value_status_not_set
138,App & Software Translation,desktop_ui_value_status_low
139,App & Software Translation,desktop_ui_value_status_high
140,App & Software Translation,desktop_ui_value_status_ok
141,App & Software Translation,desktop_ui_dbi_error_account_changed_title
142,App & Software Translation,desktop_ui_dbi_error_account_changed_body
143,App & Software Translation,desktop_ui_dbi_error_privilege_title
144,App & Software Translation,desktop_ui_dbi_error_privilege_body
145,App & Software Translation,desktop_ui_dbi_error_no_internet_title
146,App & Software Translation,desktop_ui_dbi_error_no_internet_body
147,App & Software Translation,desktop_ui_dbi_error_proxy_title
148,App & Software Translation,desktop_ui_dbi_error_proxy_body
149,App & Software Translation,desktop_ui_dbi_error_server_offline_title
150,App & Software Translation,desktop_ui_dbi_error_server_offline_body
151,App & Software Translation,desktop_ui_dbi_error_login_title
152,App & Software Translation,desktop_ui_dbi_error_login_body
153,App & Software Translation,desktop_ui_dbi_error_su_title
154,App & Software Translation,desktop_ui_dbi_error_su_body
155,App & Software Translation,desktop_ui_dbi_error_share_user_title
156,App & Software Translation,desktop_ui_dbi_error_share_user_body
157,App & Software Translation,desktop_ui_dbi_error_file_io
158,App & Software Translation,desktop_ui_dbi_error_file_io_body
159,App & Software Translation,desktop_ui_dbi_error_file_old_db_file_io
160,App & Software Translation,desktop_ui_dbi_error_file_old_db_file_io_body
161,App & Software Translation,desktop_ui_dbi_error_file_old_db_file_io_body_2
162,App & Software Translation,desktop_ui_dbi_error_protocol_title
163,App & Software Translation,desktop_ui_dbi_error_protocol_body
164,App & Software Translation,desktop_ui_dsr_unit_microgram
165,App & Software Translation,desktop_ui_dsr_unit_milligram
166,App & Software Translation,desktop_ui_dsr_unit_gram
167,App & Software Translation,desktop_ui_dsr_unit_kilogram
168,App & Software Translation,desktop_ui_dsr_unit_microliter
169,App & Software Translation,desktop_ui_dsr_unit_milliliter
170,App & Software Translation,desktop_ui_dsr_unit_liter
171,App & Software Translation,desktop_ui_dsr_unit_pieces
172,App & Software Translation,desktop_ui_dsr_increase
173,App & Software Translation,desktop_ui_dsr_decrease
174,App & Software Translation,desktop_ui_wtpdialog_type_poweder
175,App & Software Translation,desktop_ui_wtpdialog_type_pill
176,App & Software Translation,desktop_ui_wtpdialog_type_liquid
177,App & Software Translation,desktop_ui_wtpdialog_type_other
178,App & Software Translation,desktop_model_fatal_invalid_packet
179,App & Software Translation,desktop_model_error_invariant_invalid
180,App & Software Translation,desktop_model_fatal_invariant_invalid
181,App & Software Translation,desktop_model_fatal_feature_not_supported
182,App & Software Translation,labconnect_last_measurement_never
183,App & Software Translation,labconnect_num_measurements_none
184,App & Software Translation,desktop_ui_measurements_activity
185,App & Software Translation,labconnect_accountlistitem_measurements
186,App & Software Translation,poolapp_dialog_enter_new_value
187,App & Software Translation,poolapp_calc_status_enabled
188,App & Software Translation,poolapp_calc_status_disabled
189,App & Software Translation,poolapp_title_connecting
190,App & Software Translation,poolapp_label_logfl
191,App & Software Translation,poolapp_label_lastm
192,App & Software Translation,poolapp_btn_start
193,App & Software Translation,poolapp_btn_exit
194,App & Software Translation,poolapp_title_init
195,App & Software Translation,poolapp_title_readdev
196,App & Software Translation,poolapp_text_cetest
197,App & Software Translation,poolapp_text_serial
198,App & Software Translation,poolapp_title_conlostre
199,App & Software Translation,poolapp_btn_stop
200,App & Software Translation,desktop_ui_paramsearchbox_search
201,App & Software Translation,desktop_ui_paramsearchbox_show_only_active
202,App & Software Translation,desktop_sw_plinfo_dotmenu_licenseok_title
203,App & Software Translation,desktop_sw_plinfo_dotmenu_licenseok_text
204,App & Software Translation,desktop_sw_plinfo_dotmenu_licenseinvalid_title
205,App & Software Translation,desktop_sw_plinfo_dotmenu_licenseinvalid_text
206,App & Software Translation,desktop_ui_select
207,App & Software Translation,desktop_ui_activate
208,App & Software Translation,desktop_sw_plinfo_v_activate_license_title
209,App & Software Translation,desktop_sw_plinfo_v_activate_license_text
210,App & Software Translation,desktop_ui_paramsearchbox_measurement_parameters
211,App & Software Translation,desktop_ui_paramsearchbox_unfoldall
212,App & Software Translation,desktop_ui_paramsearchbox_foldall
213,App & Software Translation,desktop_ui_fragblescan_scan_primelab
214,App & Software Translation,poolapp_btn_scan
215,App & Software Translation,poolapp_btn_nearby
216,App & Software Translation,desktop_ui_internetmp_update_server
217,App & Software Translation,desktop_ui_update_working_dotdotdot
218,App & Software Translation,desktop_ui_internetmp_update_status
219,App & Software Translation,desktop_ui_internetmp_cloud_status
220,App & Software Translation,desktop_ui_mainmenusub_cloud_unsychronized
221,App & Software Translation,desktop_ui_vmp_software
222,App & Software Translation,desktop_ui_vmp_database
223,App & Software Translation,desktop_ui_internetmp_cloud_status_disabled
224,App & Software Translation,desktop_ui_internetmp_cloud_status_signed_in
225,App & Software Translation,desktop_ui_updater_available_yes
226,App & Software Translation,desktop_ui_updater_available_server_online
227,App & Software Translation,desktop_ui_measurement_result_value
228,App & Software Translation,desktop_ui_measurement_time_taken
229,App & Software Translation,desktop_ui_measurement_comment
230,App & Software Translation,desktop_ui_measurement_user_range
231,App & Software Translation,desktop_ui_revision_th_rvtime
232,App & Software Translation,desktop_ui_revision_tb_changed
233,App & Software Translation,desktop_ui_revision_tb_prevv
234,App & Software Translation,desktop_ui_revision_tb_newv
235,App & Software Translation,desktop_sw_plinfo_v_clear_one_meas_dlg_title
236,App & Software Translation,desktop_sw_plinfo_v_clear_one_meas_dlg_text
237,App & Software Translation,desktop_sw_pl_delete_account_body
238,App & Software Translation,desktop_sw_pl_delete_account_title
239,App & Software Translation,desktop_ui_remote_cancel_2
240,App & Software Translation,desktop_ui_remote_skip
241,App & Software Translation,desktop_ui_remote_continue
242,App & Software Translation,desktop_ui_remote_zero
243,App & Software Translation,desktop_ui_remote_test
244,App & Software Translation,desktop_ui_remote_discard
245,App & Software Translation,desktop_ui_remote_save
246,App & Software Translation,desktop_ui_remote_return
247,App & Software Translation,desktop_ui_remote_reuse_last_zero
248,App & Software Translation,desktop_ui_remote_reuse_last_zero_ext
249,App & Software Translation,desktop_ui_remote_error
250,App & Software Translation,desktop_ui_remote_fatal_unexpected_error
251,App & Software Translation,desktop_ui_remote_cancel_measurement_title
252,App & Software Translation,desktop_ui_remote_are_you_sure
253,App & Software Translation,desktop_ui_remote_save_failed_head
254,App & Software Translation,desktop_ui_remote_save_failed_body
255,App & Software Translation,desktop_ui_scenario_finished_box_title
256,App & Software Translation,desktop_ui_remote_recalibration_required
257,App & Software Translation,desktop_ui_remote_recalibration_required_ext
258,App & Software Translation,desktop_ui_remote_battery_too_low
259,App & Software Translation,desktop_ui_remote_battery_too_low_ext
260,App & Software Translation,desktop_ui_remote_connection_was_lost
261,App & Software Translation,desktop_ui_remote_underrange
262,App & Software Translation,desktop_ui_remote_overrange
263,App & Software Translation,desktop_ui_remote_too_low
264,App & Software Translation,desktop_ui_remote_too_high
265,App & Software Translation,desktop_ui_remote_ok
266,App & Software Translation,desktop_ui_remote_parameter_value
267,App & Software Translation,desktop_ui_remote_measure_button_saved
268,App & Software Translation,desktop_ui_remote_measure_button_save
269,App & Software Translation,desktop_ui_remote_result_convert
270,App & Software Translation,desktop_ui_remote_parameter
271,App & Software Translation,desktop_ui_remote_wait_until_the_chemical_fully_reacted
272,App & Software Translation,desktop_ui_remote_time_left
273,App & Software Translation,desktop_ui_remote_seconds
274,App & Software Translation,desktop_ui_settings_save_btn
275,App & Software Translation,desktop_sw_settings_dbsetup_dbexport_text
276,App & Software Translation,desktop_sw_settings_dbsetup_dbimport_text
277,App & Software Translation,desktop_sw_settings_dbsetup_dbreset_text
278,App & Software Translation,desktop_sw_settings_profile_title
279,App & Software Translation,desktop_ui_settings_language_select
280,App & Software Translation,desktop_ui_settings_operator_name
281,App & Software Translation,desktop_sw_settings_dbsetup_title
282,App & Software Translation,desktop_sw_settings_dbsetup_dbexport
283,App & Software Translation,desktop_sw_settings_dbsetup_dbexport_btn
284,App & Software Translation,desktop_sw_settings_dbsetup_dbimport
285,App & Software Translation,desktop_sw_settings_dbsetup_dbimport_btn
286,App & Software Translation,desktop_sw_settings_dbsetup_dbreset
287,App & Software Translation,desktop_sw_settings_dbsetup_dbreset_btn
288,App & Software Translation,desktop_ui_db_import_restore_title
289,App & Software Translation,desktop_ui_db_import_restore_warning
290,App & Software Translation,desktop_ui_db_import_restore_success
291,App & Software Translation,desktop_sw_dbimport_failed_title
292,App & Software Translation,desktop_sw_dbimport_failed_text
293,App & Software Translation,desktop_ui_db_export_backup_title
294,App & Software Translation,desktop_ui_db_import_export_success
295,App & Software Translation,desktop_ui_db_export_error_copy_failed
296,App & Software Translation,desktop_sw_resetdb_text
297,App & Software Translation,desktop_sw_resetdb_title
298,App & Software Translation,desktop_sw_dbreset_title
299,App & Software Translation,desktop_sw_dbreset_text
300,App & Software Translation,desktop_ui_config_application_restart_title
301,App & Software Translation,desktop_ui_config_application_restart_body
302,App & Software Translation,desktop_ui_settings_input_error_title
303,App & Software Translation,desktop_ui_settings_input_error_opname_empty
304,App & Software Translation,desktop_ui_forename
305,App & Software Translation,desktop_ui_surname
306,App & Software Translation,desktop_ui_customer_id
307,App & Software Translation,desktop_ui_street
308,App & Software Translation,desktop_ui_city
309,App & Software Translation,desktop_ui_zipcode
310,App & Software Translation,desktop_ui_account_required_fields
311,App & Software Translation,desktop_ui_country
312,App & Software Translation,desktop_ui_canton
313,App & Software Translation,desktop_ui_email
314,App & Software Translation,desktop_ui_phone1
315,App & Software Translation,desktop_ui_phone2
316,App & Software Translation,desktop_ui_fax
317,App & Software Translation,desktop_ui_notes
318,App & Software Translation,desktop_ui_poolsize
319,App & Software Translation,desktop_ui_poolnotes
320,App & Software Translation,poolapp_btn_save
321,App & Software Translation,poolapp_btn_cancel
322,App & Software Translation,desktop_ui_information_missing
323,App & Software Translation,desktop_ui_information_missing_ext
324,App & Software Translation,poolapp_dlg_unsaved_changes_title
325,App & Software Translation,poolapp_dlg_unsaved_changes_body
326,App & Software Translation,desktop_ui_permission_denied_sublogin_title
327,App & Software Translation,desktop_ui_permission_denied_sublogin_accounts
328,App & Software Translation,poolapp_title_newacc
329,App & Software Translation,poolapp_title_editacc
330,App & Software Translation,poolapp_btn_accounts
331,App & Software Translation,desktop_ui_accountlist_ribbon_clear
332,App & Software Translation,desktop_ui_remove_account_ribbon
333,App & Software Translation,desktop_ui_write_primelab_ribbon
334,App & Software Translation,desktop_ui_write_primelab_error_title
335,App & Software Translation,desktop_ui_write_primelab_error_text
336,App & Software Translation,desktop_ui_write_primelab_toomany_title
337,App & Software Translation,desktop_ui_write_primelab_toomany_text
338,App & Software Translation,poolapp_measures_account_report_btn
339,App & Software Translation,desktop_sw_accounts_action_export_xlsx
340,App & Software Translation,desktop_ui_datatree_checkall
341,App & Software Translation,poolapp_label_filterdp
342,App & Software Translation,desktop_ui_filter_bindtext
343,App & Software Translation,desktop_ui_write_primelab_ok_title
344,App & Software Translation,desktop_ui_write_primelab_ok_text
345,App & Software Translation,poolapp_accounts_import_dialog_body
346,App & Software Translation,poolapp_text_delacc
347,App & Software Translation,desktop_ui_permission_denied_sublogin_measurements
348,App & Software Translation,poolapp_measurements_delete_dialog_body
349,App & Software Translation,poolapp_text_clearacc
350,App & Software Translation,poolapp_pdf_report_saved_title
351,App & Software Translation,poolapp_pdf_report_saved_body
352,App & Software Translation,desktop_sw_xlsx_export_fdiag_title
353,App & Software Translation,desktop_sw_xlsx_saved_body
354,App & Software Translation,desktop_sw_xlsx_saved_title
355,App & Software Translation,poolapp_fragment_active_chlorine_title
356,App & Software Translation,poolapp_calc_acl_fcl_value
357,App & Software Translation,poolapp_calc_acl_ph_value
358,App & Software Translation,poolapp_calc_acl_cya_value
359,App & Software Translation,poolapp_calc_acl_water_temp
360,App & Software Translation,poolapp_calc_acl_acl_value_result
361,App & Software Translation,poolapp_calc_acl_descriptor
362,App & Software Translation,poolapp_text_yourdev
363,App & Software Translation,labcom_poollab_set_contrast_text
364,App & Software Translation,labcom_poollab_set_contrast_plus
365,App & Software Translation,labcom_poollab_set_contrast_minus
366,App & Software Translation,poolapp_text_selectacc
367,App & Software Translation,poolapp_btn_disconnect
368,App & Software Translation,poolapp_OTA_in_progress
369,App & Software Translation,poolapp_OTA_please_be_patient
370,App & Software Translation,poolapp_text_measimpoandrem
371,App & Software Translation,poolapp_text_importcomp
372,App & Software Translation,poolapp_OTA_dialog_title
373,App & Software Translation,poolapp_OTA_dialog_body
374,App & Software Translation,poolapp_OTA_update_complete_body
375,App & Software Translation,poolapp_OTA_update_complete_title
376,App & Software Translation,poolapp_OTA_error_dialog_general_message
377,App & Software Translation,poolapp_OTA_error_dialog_title
378,App & Software Translation,desktop_ui_ble_reconnect_now_title
379,App & Software Translation,desktop_ui_ble_reconnect_now_text
380,App & Software Translation,poolapp_title_error
381,App & Software Translation,poolapp_text_proderror
382,App & Software Translation,poolapp_text_devn
383,App & Software Translation,poolapp_text_sern
384,App & Software Translation,poolapp_text_firm
385,App & Software Translation,poolapp_text_mem
386,App & Software Translation,poolapp_text_time
387,App & Software Translation,poolapp_import_measurements_dialog_body
388,App & Software Translation,poolapp_import_measurements_dialog_head
389,App & Software Translation,desktop_sw_ble_connect_title
390,App & Software Translation,desktop_ui_fragscan_scanning_dotdotdot
391,App & Software Translation,poolapp_text_adapt_offl
392,App & Software Translation,poolapp_text_switch_on_bt
393,App & Software Translation,poolapp_err_ble
394,App & Software Translation,desktop_primelab_update_required_title
395,App & Software Translation,desktop_primelab_update_required_text
396,App & Software Translation,labcom_android_permissions_title
397,App & Software Translation,labcom_android_permissions_text
398,App & Software Translation,poolapp_text_connectingp
399,App & Software Translation,poolapp_fragment_chemistry_title
400,App & Software Translation,poolapp_chemistry_parameter_calculators
401,App & Software Translation,poolapp_chemistry_rsilsi_button
402,App & Software Translation,poolapp_chemistry_active_chlorine_button
403,App & Software Translation,poolapp_wtp_list_title
404,App & Software Translation,poolapp_chemistry_ideal_ranges_button
405,App & Software Translation,software_ui_cloud_network_error
406,App & Software Translation,software_ui_cloud_network_error_ext
407,App & Software Translation,desktop_ui_cloud_login_wrong
408,App & Software Translation,desktop_ui_cloud_login_wrong_ext
409,App & Software Translation,desktop_ui_cloud_register_ok
410,App & Software Translation,desktop_ui_cloud_register_ok_ext
411,App & Software Translation,desktop_ui_cloud_email_confirmation
412,App & Software Translation,desktop_ui_cloud_email_confirmation_ext
413,App & Software Translation,desktop_ui_cloud_registration_failed
414,App & Software Translation,desktop_ui_cloud_registration_failed_ext
415,App & Software Translation,desktop_ui_cloud_registration_failed_disabled
416,App & Software Translation,desktop_ui_cloud_registration_failed_disabled_extr
417,App & Software Translation,software_ui_cloud_protocol_error
418,App & Software Translation,software_ui_cloud_protocol_error_ext
419,App & Software Translation,desktop_ui_cloud_login_ok
420,App & Software Translation,desktop_ui_cloud_login_ok_ext
421,App & Software Translation,poolapp_cloud_last_check_text
422,App & Software Translation,poolapp_cloud_disable_dlg_title
423,App & Software Translation,poolapp_cloud_disable_dlg_body
424,App & Software Translation,desktop_ui_cloud_no_internet
425,App & Software Translation,desktop_ui_cloud_no_internet_ext
426,App & Software Translation,poolapp_btn_ok
427,App & Software Translation,poolapp_register_error_title
428,App & Software Translation,poolapp_register_email_invalid
429,App & Software Translation,poolapp_register_password_too_short
430,App & Software Translation,poolapp_register_password_mismatch
431,App & Software Translation,poolapp_login_error_title
432,App & Software Translation,poolapp_login_password_empty
433,App & Software Translation,desktop_ui_cloud_server_select_text
434,App & Software Translation,poolapp_btn_register
435,App & Software Translation,poolapp_btn_login
436,App & Software Translation,poolapp_btn_lost_pw
437,App & Software Translation,labconnect_cloud_btn_register
438,App & Software Translation,labconnect_cloud_email_placeholder
439,App & Software Translation,labconnect_cloud_email_descr
440,App & Software Translation,labconnect_cloud_password_descr
441,App & Software Translation,labconnect_cloud_password_repeat_descr
442,App & Software Translation,labconnect_cloud_sync_up_on_register
443,App & Software Translation,labconnect_cloud_ui_warning_register
444,App & Software Translation,labconnect_cloud_login_header
445,App & Software Translation,labconnect_cloud_ui_warning_login
446,App & Software Translation,desktop_sw_fragcloudaccount_fragmenttitle
447,App & Software Translation,desktop_sw_disable_cloud_button
448,App & Software Translation,labconnect_cloud_overview_title
449,App & Software Translation,labconnect_cloud_overview_accname
450,App & Software Translation,labconnect_cloud_overview_last_check
451,App & Software Translation,labconnect_cloud_overview_last_mod
452,App & Software Translation,labconnect_cloud_overview_num_accounts
453,App & Software Translation,labconnect_cloud_overview_num_measurements
454,App & Software Translation,desktop_ui_result_lastedited_never
455,App & Software Translation,desktop_sw_cloud_v_numaccounts
456,App & Software Translation,desktop_sw_cloud_v_nummeasures
457,App & Software Translation,labconnect_cloud_sharing_available
458,App & Software Translation,labconnect_cloud_sharing_granted
459,App & Software Translation,labconnect_cloud_sharing_fmod_readonly
460,App & Software Translation,labconnect_cloud_sharing_fmod_append
461,App & Software Translation,labconnect_cloud_sharing_fmod_full
462,App & Software Translation,labconnect_cloud_sharing_fmod_noaccess
463,App & Software Translation,labconnect_cloud_supervisor_removeaccess
464,App & Software Translation,labconnect_cloud_supervisor_readaccess
465,App & Software Translation,labconnect_cloud_supervisor_readandadd
466,App & Software Translation,labconnect_cloud_supervisor_fullaccess
467,App & Software Translation,poolapp_cloud_working_title
468,App & Software Translation,poolapp_cloud_working_text
469,App & Software Translation,labconnect_cloud_transfer_bytes
470,App & Software Translation,poolapp_frag_idealranges_title
471,App & Software Translation,poolapp_idealranges_parameter
472,App & Software Translation,poolapp_idealranges_limitrange
473,App & Software Translation,poolapp_idealranges_activeset
474,App & Software Translation,poolapp_idealranges_checktext
475,App & Software Translation,poolapp_idealranges_rowtext_minmax_v2
476,App & Software Translation,desktop_ui_fragment_welcome_software_version
477,App & Software Translation,desktop_ui_fragment_welcome_database_version
478,App & Software Translation,desktop_sw_fraginit_starting_dotdotdot
479,App & Software Translation,poolapp_mainmenu_accounts
480,App & Software Translation,labconnect_mainmenu_newmeasurement
481,App & Software Translation,labconnect_mainmenu_cloud
482,App & Software Translation,labconnect_mainmenu_connect_device
483,App & Software Translation,poolapp_mainmenu_your_device
484,App & Software Translation,poolapp_mainmenu_chemistry
485,App & Software Translation,poolapp_mainmenu_settings
486,App & Software Translation,poolapp_mainmenu_support
487,App & Software Translation,desktop_ui_revisions_title
488,App & Software Translation,poolapp_fragment_measfilter_title
489,App & Software Translation,poolapp_measfilter_is_active
490,App & Software Translation,poolapp_measfilter_by_range
491,App & Software Translation,poolapp_measfilter_by_time_recent
492,App & Software Translation,poolapp_measfilter_recent_last_week
493,App & Software Translation,poolapp_measfilter_recent_last_month
494,App & Software Translation,poolapp_measfilter_recent_last_year
495,App & Software Translation,poolapp_measfilter_date_select_begin
496,App & Software Translation,poolapp_measfilter_date_select_end
497,App & Software Translation,poolapp_measfilter_by_time_span
498,App & Software Translation,poolapp_measfilter_by_parameter
499,App & Software Translation,poolapp_measfilter_date_error_range_title
500,App & Software Translation,poolapp_measfilter_date_error_range_body
501,App & Software Translation,poolapp_fragment_account_details_title
502,App & Software Translation,desktop_ui_measurement_scenario
503,App & Software Translation,desktop_ui_measurement_parameter
504,App & Software Translation,desktop_ui_measurement_valid_range
505,App & Software Translation,desktop_ui_measurement_result_status
506,App & Software Translation,desktop_ui_measurement_device_serial
507,App & Software Translation,desktop_ui_result_edit_result
508,App & Software Translation,poolapp_measure_comment_title
509,App & Software Translation,desktop_ui_result_dosage_recommendation
510,App & Software Translation,poolapp_enter_ideal_min_title
511,App & Software Translation,poolapp_enter_ideal_min_body
512,App & Software Translation,poolapp_enter_ideal_max_title
513,App & Software Translation,poolapp_enter_ideal_max_body
514,App & Software Translation,labcom_ui_previous_values_form_text
515,App & Software Translation,poolapp_editvalue_title
516,App & Software Translation,poolapp_edotvalue_body
517,App & Software Translation,poolapp_measure_comment_body
518,App & Software Translation,desktop_ui_dsr_error_range_title
519,App & Software Translation,desktop_ui_dsr_error_range_body
520,App & Software Translation,desktop_ui_dsr_error_nopool_title
521,App & Software Translation,desktop_ui_dsr_error_nopool_body
522,App & Software Translation,poolapp_measurement_dsr_target_value_title
523,App & Software Translation,poolapp_measurement_dsr_target_value_text
524,App & Software Translation,desktop_ui_dsr_none_found_title
525,App & Software Translation,desktop_ui_dsr_none_found_body
526,App & Software Translation,desktop_ui_result_idealrange_not_set
527,App & Software Translation,desktop_sw_fragmeasurements_details
528,App & Software Translation,labconnect_measures_tab_title_measurements
529,App & Software Translation,labconnect_measures_tab_title_details
530,App & Software Translation,poolapp_measure_list_box_title
531,App & Software Translation,poolapp_measures_delete_account_title
532,App & Software Translation,poolapp_measures_delete_account_body
533,App & Software Translation,poolapp_measures_delete_question_title
534,App & Software Translation,poolapp_measures_delete_all_question_body
535,App & Software Translation,poolapp_measures_delete_all_body
536,App & Software Translation,poolapp_measure_move_select_account
537,App & Software Translation,labconnect_account_measures_delete
538,App & Software Translation,labconnect_account_measures_move
539,App & Software Translation,labconnect_fragment_newmeasurement_ribbon
540,App & Software Translation,labconnect_account_detail_delete
541,App & Software Translation,desktop_ui_measurements_saved
542,App & Software Translation,labconnect_measures_loading_text
543,App & Software Translation,poolapp_measures_filter_active_notice
544,App & Software Translation,labconnect_fragment_newmeasurement_title
545,App & Software Translation,desktop_sw_newmeasure_setideal_check
546,App & Software Translation,desktop_sw_newmeasure_remotecontrol
547,App & Software Translation,desktop_sw_newmeasure_manualresult
548,App & Software Translation,desktop_sw_newmeasure_sel_account
549,App & Software Translation,desktop_sw_newmeasure_sel_method
550,App & Software Translation,desktop_sw_newmeasure_req_reagents
551,App & Software Translation,desktop_sw_newmeasure_sel_parameter
552,App & Software Translation,desktop_sw_newmeasure_sel_testrange
553,App & Software Translation,desktop_ui_idealrange_setmin
554,App & Software Translation,desktop_ui_idealrange_setmax
555,App & Software Translation,desktop_sw_primelab_remote_notconnected_title
556,App & Software Translation,desktop_sw_primelab_remote_notconnected_text
557,App & Software Translation,desktop_sw_primelab_remote_notlicensed_title
558,App & Software Translation,desktop_sw_primelab_remote_notlicensed_text
559,App & Software Translation,desktop_sw_manual_result_title
560,App & Software Translation,desktop_sw_manual_new_result_text
561,App & Software Translation,desktop_sw_manual_result_text
562,App & Software Translation,desktop_ui_fragment_parameters
563,App & Software Translation,desktop_ui_fragment_plf_error_connection_lost
564,App & Software Translation,desktop_ui_fragment_plf_error_connection_lost_ext
565,App & Software Translation,desktop_ui_fragment_plf_error_invalid_response
566,App & Software Translation,desktop_ui_fragment_plf_error_invalid_response_ext
567,App & Software Translation,desktop_ui_fragment_plf_error_calibration_failed
568,App & Software Translation,desktop_ui_fragment_plf_error_calibration_failed_ext
569,App & Software Translation,desktop_ui_primelab_update_failed_title
570,App & Software Translation,desktop_ui_primelab_update_failed_con_lost
571,App & Software Translation,desktop_ui_primelab_update_failed_disk
572,App & Software Translation,desktop_ui_primelab_update_failed_extract
573,App & Software Translation,desktop_ui_primelab_update_failed_protocol_error
574,App & Software Translation,desktop_ui_primelab_update_battery_too_low
575,App & Software Translation,desktop_ui_primelab_update_preparingd_top
576,App & Software Translation,desktop_ui_primelab_update_preparingd_bootldr
577,App & Software Translation,desktop_ui_primelab_update_preparingfw_top
578,App & Software Translation,desktop_ui_primelab_update_preparingfw_bootldr
579,App & Software Translation,labconnect_primelab_update_firmware_top
580,App & Software Translation,labconnect_primelab_update_firmware_sub
581,App & Software Translation,labconnect_ui_primelab_update_database_top
582,App & Software Translation,labconnect_primelab_update_database_sub
583,App & Software Translation,desktop_ui_primelab_update_restart
584,App & Software Translation,labconnect_primelab_update_restart_sub
